"N_Protocol" "Status" "Species" "Branch_N" "Length" "N_Thorns" "N_Twigs" "Longest_thorn" "N_browsed_Twigs" "Branch_esc" "BDI" "Thorn_density"
12 "Escaped" "Malus" 10 10 0 1 NA 0 "yes" 0.1 0
12 "Escaped" "Malus" 11 9 0 1 NA 0 "yes" 0.111111111111111 0
12 "Escaped" "Malus" 12 10 0 2 NA 0 "yes" 0.2 0
13 "Not escaped" "Malus" 1 10 0 5 NA 2 "no" 0.5 0
13 "Not escaped" "Malus" 2 10 3 9 2.2 5 "no" 0.9 0.3
13 "Not escaped" "Malus" 3 9 1 1 1.2 1 "no" 0.111111111111111 0.111111111111111
13 "Not escaped" "Malus" 4 10 2 9 1 2 "no" 0.9 0.2
13 "Not escaped" "Malus" 5 10 3 9 2.8 3 "no" 0.9 0.3
13 "Not escaped" "Malus" 6 10 0 7 NA 2 "no" 0.7 0
13 "Not escaped" "Malus" 7 10 1 5 2 1 "no" 0.5 0.1
13 "Not escaped" "Malus" 8 9 5 7 2.7 3 "no" 0.777777777777778 0.555555555555556
13 "Not escaped" "Malus" 9 10 0 13 NA 4 "no" 1.3 0
13 "Not escaped" "Malus" 10 10 3 7 2.5 0 "no" 0.7 0.3
13 "Not escaped" "Malus" 11 9 8 12 3.2 4 "no" 1.33333333333333 0.888888888888889
13 "Not escaped" "Malus" 12 10 0 12 NA 5 "no" 1.2 0
14 "Escaped" "Malus" 1 10 3 8 1.8 5 "no" 0.8 0.3
14 "Escaped" "Malus" 2 10 1 10 1.2 4 "no" 1 0.1
14 "Escaped" "Malus" 3 10 1 8 2.2 3 "no" 0.8 0.1
14 "Escaped" "Malus" 4 10 0 2 NA 1 "no" 0.2 0
14 "Escaped" "Malus" 5 10 0 6 NA 3 "no" 0.6 0
14 "Escaped" "Malus" 6 10 1 7 1.5 4 "no" 0.7 0.1
14 "Escaped" "Malus" 7 10 4 10 0.3 0 "no" 1 0.4
14 "Escaped" "Malus" 8 10 0 4 NA 4 "no" 0.4 0
14 "Escaped" "Malus" 9 10 0 5 NA 0 "no" 0.5 0
14 "Escaped" "Malus" 10 10 1 6 0.3 2 "no" 0.6 0.1
14 "Escaped" "Malus" 11 10 0 6 NA 2 "no" 0.6 0
14 "Escaped" "Malus" 12 10 0 11 NA 6 "no" 1.1 0
14 "Escaped" "Malus" 1 10 0 4 NA 0 "yes" 0.4 0
14 "Escaped" "Malus" 2 10 0 6 NA 0 "yes" 0.6 0
14 "Escaped" "Malus" 3 10 0 5 NA 0 "yes" 0.5 0
14 "Escaped" "Malus" 4 10 0 8 NA 2 "yes" 0.8 0
14 "Escaped" "Malus" 5 10 0 7 NA 2 "yes" 0.7 0
14 "Escaped" "Malus" 6 10 0 6 NA 0 "yes" 0.6 0
14 "Escaped" "Malus" 7 10 0 6 NA 0 "yes" 0.6 0
14 "Escaped" "Malus" 8 10 0 4 NA 0 "yes" 0.4 0
14 "Escaped" "Malus" 9 10 0 5 NA 0 "yes" 0.5 0
14 "Escaped" "Malus" 10 10 0 3 NA 1 "yes" 0.3 0
14 "Escaped" "Malus" 11 10 0 4 NA 0 "yes" 0.4 0
14 "Escaped" "Malus" 12 10 0 5 NA 1 "yes" 0.5 0
15 "Not escaped" "Malus" 1 9 0 9 NA 6 "no" 1 0
15 "Not escaped" "Malus" 2 10 0 3 NA 1 "no" 0.3 0
15 "Not escaped" "Malus" 3 10 0 8 NA 5 "no" 0.8 0
15 "Not escaped" "Malus" 4 10 1 20 1 8 "no" 2 0.1
15 "Not escaped" "Malus" 5 7 0 6 NA 3 "no" 0.857142857142857 0
15 "Not escaped" "Malus" 6 10 0 2 NA 0 "no" 0.2 0
15 "Not escaped" "Malus" 7 10 2 6 2.2 1 "no" 0.6 0.2
15 "Not escaped" "Malus" 8 10 0 1 NA 0 "no" 0.1 0
15 "Not escaped" "Malus" 9 10 2 9 3 4 "no" 0.9 0.2
15 "Not escaped" "Malus" 10 10 0 10 NA 6 "no" 1 0
15 "Not escaped" "Malus" 11 8 1 7 1.5 0 "no" 0.875 0.125
15 "Not escaped" "Malus" 12 10 0 11 NA 4 "no" 1.1 0
16 "Not escaped" "Malus" 1 10 1 1 1.2 0 "no" 0.1 0.1
16 "Not escaped" "Malus" 2 8 0 5 NA 3 "no" 0.625 0
16 "Not escaped" "Malus" 3 10 2 4 3 0 "no" 0.4 0.2
16 "Not escaped" "Malus" 4 10 1 3 1.5 1 "no" 0.3 0.1
16 "Not escaped" "Malus" 5 10 0 2 NA 1 "no" 0.2 0
16 "Not escaped" "Malus" 6 10 1 6 3.2 3 "no" 0.6 0.1
16 "Not escaped" "Malus" 7 10 0 9 NA 3 "no" 0.9 0
16 "Not escaped" "Malus" 8 10 0 4 NA 2 "no" 0.4 0
16 "Not escaped" "Malus" 9 10 0 13 NA 9 "no" 1.3 0
16 "Not escaped" "Malus" 10 9 1 1 0.9 0 "no" 0.111111111111111 0.111111111111111
16 "Not escaped" "Malus" 11 10 0 2 NA 0 "no" 0.2 0
16 "Not escaped" "Malus" 12 10 0 2 NA 2 "no" 0.2 0
17 "Escaped" "Malus" 1 10 2 22 1.5 3 "no" 2.2 0.2
17 "Escaped" "Malus" 2 10 1 5 1 3 "no" 0.5 0.1
17 "Escaped" "Malus" 3 10 3 12 1.7 2 "no" 1.2 0.3
17 "Escaped" "Malus" 4 10 1 12 1.2 5 "no" 1.2 0.1
17 "Escaped" "Malus" 5 10 0 5 NA 0 "no" 0.5 0
17 "Escaped" "Malus" 6 10 3 17 1.3 2 "no" 1.7 0.3
17 "Escaped" "Malus" 7 7 2 14 1 6 "no" 2 0.285714285714286
17 "Escaped" "Malus" 8 10 1 16 1.3 2 "no" 1.6 0.1
17 "Escaped" "Malus" 9 10 0 9 NA 4 "no" 0.9 0
17 "Escaped" "Malus" 10 10 1 8 1.1 1 "no" 0.8 0.1
17 "Escaped" "Malus" 11 10 0 11 NA 6 "no" 1.1 0
17 "Escaped" "Malus" 12 10 0 11 NA 5 "no" 1.1 0
17 "Escaped" "Malus" 1 10 0 2 NA 0 "yes" 0.2 0
17 "Escaped" "Malus" 2 10 0 6 NA 0 "yes" 0.6 0
17 "Escaped" "Malus" 3 10 0 6 NA 0 "yes" 0.6 0
17 "Escaped" "Malus" 4 10 0 7 NA 0 "yes" 0.7 0
17 "Escaped" "Malus" 5 10 0 5 NA 0 "yes" 0.5 0
17 "Escaped" "Malus" 6 10 1 8 1.7 1 "yes" 0.8 0.1
17 "Escaped" "Malus" 7 10 0 4 NA 1 "yes" 0.4 0
17 "Escaped" "Malus" 8 10 0 7 NA 1 "yes" 0.7 0
17 "Escaped" "Malus" 9 10 0 4 NA 0 "yes" 0.4 0
17 "Escaped" "Malus" 10 10 0 4 NA 0 "yes" 0.4 0
17 "Escaped" "Malus" 11 10 0 3 NA 1 "yes" 0.3 0
17 "Escaped" "Malus" 12 10 0 2 NA 0 "yes" 0.2 0
18 "Not escaped" "Prunus" 1 10 0 1 NA 1 "no" 0.1 0
18 "Not escaped" "Prunus" 2 10 0 9 NA 7 "no" 0.9 0
18 "Not escaped" "Prunus" 3 10 0 9 NA 4 "no" 0.9 0
18 "Not escaped" "Prunus" 4 10 1 18 1.2 9 "no" 1.8 0.1
18 "Not escaped" "Prunus" 5 10 0 4 NA 4 "no" 0.4 0
18 "Not escaped" "Prunus" 6 10 1 1 4.4 1 "no" 0.1 0.1
18 "Not escaped" "Prunus" 7 10 3 10 3 6 "no" 1 0.3
18 "Not escaped" "Prunus" 8 10 0 10 NA 3 "no" 1 0
18 "Not escaped" "Prunus" 9 10 0 13 NA 11 "no" 1.3 0
18 "Not escaped" "Prunus" 10 10 4 11 1.3 4 "no" 1.1 0.4
18 "Not escaped" "Prunus" 11 10 1 4 2 0 "no" 0.4 0.1
18 "Not escaped" "Prunus" 12 10 1 5 4.5 1 "no" 0.5 0.1
19 "Escaped" "Prunus" 1 10 0 2 NA 2 "no" 0.2 0
19 "Escaped" "Prunus" 2 10 1 1 5 0 "no" 0.1 0.1
19 "Escaped" "Prunus" 3 10 0 4 NA 4 "no" 0.4 0
19 "Escaped" "Prunus" 4 10 1 4 5 0 "no" 0.4 0.1
19 "Escaped" "Prunus" 5 10 0 3 NA 1 "no" 0.3 0
19 "Escaped" "Prunus" 6 10 0 2 NA 0 "no" 0.2 0
